imgps_x,imgps_y,u,v,objps_x,objps_y
762.9093719,2692.482888,340.9369676,927.8947505,-17.5,-12.5
944.0051781,2684.171391,368.7411089,923.3251059,-15,-12.5
1125.001633,2675.739222,396.4615026,918.8913911,-12.5,-12.5
1306.023672,2667.358698,423.8625831,914.7600842,-10,-12.5
1486.968284,2658.99652,451.0210736,910.3895143,-7.5,-12.5
1667.883045,2650.521244,477.7839094,906.229539,-5,-12.5
1848.845027,2642.177192,504.5476786,902.0820159,-2.5,-12.5
2029.776288,2633.767544,530.8466232,897.7787936,0,-12.5
2210.697816,2625.441095,556.9618097,893.6270808,2.5,-12.5
2391.504841,2617.096394,582.8682003,889.4909598,5,-12.5
2572.439398,2608.745238,608.4301326,885.289938,7.5,-12.5
2753.306269,2600.395731,633.8824487,881.3438367,10,-12.5
2934.233703,2592.028816,658.9593073,877.2576715,12.5,-12.5
3115.124898,2583.668936,683.96385,873.4500187,15,-12.5
3296.087703,2575.341778,708.6199833,869.4008919,17.5,-12.5
754.6182859,2511.308977,339.6384567,866.7143688,-17.5,-10
935.6635547,2502.919491,367.6050655,862.4318806,-15,-10
1116.687092,2494.51642,395.2846489,858.2887492,-12.5,-10
1297.641306,2486.129891,422.6309109,854.3866072,-10,-10
1478.629997,2477.781108,449.8313205,850.2734766,-7.5,-10
1659.573334,2469.396963,476.6754737,846.3110985,-5,-10
1840.471381,2461.112123,503.3911014,842.4399045,-2.5,-10
2021.422486,2452.729341,529.7075277,838.5223028,0,-10
2202.290122,2444.387709,555.8684911,834.6249729,2.5,-10
2383.128291,2436.013092,581.7111318,830.9505463,5,-10
2564.045109,2427.587675,607.262211,826.9254621,7.5,-10
2744.958022,2419.256034,632.7766958,822.9687686,10,-10
2925.93355,2410.884248,657.980448,819.4092632,12.5,-10
3106.754316,2402.524923,682.926775,815.7523856,15,-10
3287.618905,2394.165469,707.5258706,812.104136,17.5,-10
746.2306297,2330.154127,338.4703348,805.3506589,-17.5,-7.5
927.3156359,2321.738302,366.4319297,801.4474885,-15,-7.5
1108.367998,2313.370936,394.0644137,797.6458588,-12.5,-7.5
1289.368348,2304.961063,421.5063768,793.914362,-10,-7.5
1470.318003,2296.661177,448.6058506,790.0948934,-7.5,-7.5
1651.152603,2288.288241,475.4926411,786.5050181,-5,-7.5
1832.117166,2279.9457,502.3486284,783.0018799,-2.5,-7.5
2013.011423,2271.547072,528.5734104,779.1775659,0,-7.5
2193.929083,2263.235761,554.7175248,775.6394894,2.5,-7.5
2374.829102,2254.9009,580.5610753,772.1755439,5,-7.5
