imgps_x,imgps_y,u,v,objps_x,objps_y
3310.18005,2523.109164,697.8826935,850.9648726,17.5,-12.5
3129.148397,2521.260878,674.9386216,851.7633379,15,-12.5
2948.127817,2519.483766,651.7972071,852.7202583,12.5,-12.5
2767.060272,2517.705113,628.4531029,853.6982451,10,-12.5
2586.069383,2515.947084,604.8240136,854.5311957,7.5,-12.5
2405.011894,2514.193609,580.8672697,855.3268266,5,-12.5
2224.016792,2512.417839,556.7089381,856.1834981,2.5,-12.5
2043.02152,2510.669725,532.3048824,857.2397804,0,-12.5
1861.905244,2508.89585,507.5422663,858.1548098,-2.5,-12.5
1680.87487,2507.117389,482.4738665,859.0777025,-5,-12.5
1499.786288,2505.345428,457.1818337,860.080419,-7.5,-12.5
1318.468366,2503.517419,431.539669,860.9388302,-10,-12.5
1137.579983,2501.859442,405.6591807,862.1071187,-12.5,-12.5
956.3737641,2500.124123,379.3538483,862.9329413,-15,-12.5
775.12865,2498.429703,352.6607995,864.0988444,-17.5,-12.5
3311.941111,2341.682331,698.1140509,793.7446186,17.5,-10
3130.925955,2339.881955,675.1519729,794.4234017,15,-10
2949.93335,2338.134681,652.1153525,794.9270383,12.5,-10
2768.859134,2336.35035,628.8082016,795.4915258,10,-10
2587.869611,2334.617252,605.0979966,796.0839528,7.5,-10
2406.780128,2332.904197,581.1522983,796.7354954,5,-10
2225.779467,2331.118816,557.0489289,797.3695696,2.5,-10
2044.766978,2329.335533,532.5208048,797.9003773,0,-10
1863.712828,2327.621934,507.7461365,798.4811035,-2.5,-10
1682.625906,2325.797597,482.7187552,799.1887454,-5,-10
1501.560122,2324.025048,457.4805322,799.671421,-7.5,-10
1320.505141,2322.235322,431.840216,800.4146408,-10,-10
1139.377406,2320.529559,405.8889653,801.0253571,-12.5,-10
958.1831625,2318.794131,379.6383293,801.7227872,-15,-10
776.9524359,2317.06472,353.0167204,802.5281494,-17.5,-10
3313.737888,2160.340805,698.2984081,736.7756909,17.5,-7.5
3132.709561,2158.564611,675.4979668,737.0841767,15,-7.5
2951.723797,2156.757973,652.3975292,737.159451,12.5,-7.5
2770.717222,2155.025947,628.9986268,737.4905253,10,-7.5
2589.677472,2153.249167,605.3899318,737.7871619,7.5,-7.5
2408.602413,2151.532389,581.4669502,738.0627378,5,-7.5
2227.583403,2149.790641,557.2672458,738.3393287,2.5,-7.5
2046.535316,2147.992563,532.8958356,738.6325539,0,-7.5
1865.478266,2146.206159,508.01336,738.9590025,-2.5,-7.5
1684.392605,2144.455333,483.015128,739.0387797,-5,-7.5
1503.311672,2142.678323,457.7051672,739.4137511,-7.5,-7.5
1322.28282,2140.880142,432.1068818,739.6177105,-10,-7.5
1141.194036,2139.140397,406.2454859,740.0875096,-12.5,-7.5
959.9678688,2137.440416,379.8882756,740.398606,-15,-7.5
778.7212359,2135.665941,353.2273674,740.7268999,-17.5,-7.5
3315.57295,1978.961484,698.5927038,679.6211253,17.5,-5
3134.585988,1977.176227,675.7423289,679.5882996,15,-5
2953.537384,1975.391244,652.6750259,679.5322718,12.5,-5
2772.506555,1973.644127,629.285302,679.5356905,10,-5
2591.46035,1971.867186,605.5870285,679.4695911,7.5,-5
2410.39965,1970.06465,581.6675352,679.4171207,5,-5
2229.320959,1968.373063,557.516075,679.4628294,2.5,-5
2048.259006,1966.623469,533.1075206,679.2951842,0,-5
1867.197616,1964.809698,508.2255343,679.2888538,-2.5,-5
1686.10642,1963.023552,483.2545218,679.1394883,-5,-5
1505.046384,1961.271369,458.0501349,679.1312886,-7.5,-5
1324.011897,1959.547263,432.3632758,679.1408416,-10,-5
1142.99692,1957.762623,406.5196876,679.1480605,-12.5,-5
961.7896859,1955.919992,380.1983861,678.8443244,-15,-5
780.4992938,1954.216888,353.5943148,679.0557536,-17.5,-5
3317.276605,1797.581239,698.8266901,622.5855069,17.5,-2.5
3136.307569,1795.816847,676.021712,622.1805899,15,-2.5
2955.301813,1794.044886,652.9077557,621.9884161,12.5,-2.5
2774.323447,1792.23055,629.5262592,621.4259492,10,-2.5
2593.18492,1790.453173,605.8950147,621.0124292,7.5,-2.5
2412.173589,1788.71667,582.0073746,620.7591675,5,-2.5
2231.118313,1786.939325,557.8105037,620.3213342,2.5,-2.5
2050.205794,1785.267578,533.401814,620.1015327,0,-2.5
1868.943403,1783.487842,508.6077359,619.6606325,-2.5,-2.5
1687.92578,1781.774875,483.6208692,619.2354079,-5,-2.5
1506.826805,1779.953598,458.3415582,618.8650031,-7.5,-2.5
1325.775909,1778.23152,432.7285441,618.5383807,-10,-2.5
1144.675841,1776.419284,406.8103332,618.1144938,-12.5,-2.5
963.5501875,1774.564384,380.5165005,617.7155138,-15,-2.5
782.2685781,1772.806727,353.8790327,617.1145329,-17.5,-2.5
3319.004255,1616.302483,699.0543583,565.6284894,17.5,0
3138.069953,1614.500495,676.2613579,564.8969946,15,0
2957.072388,1612.698239,653.1931002,564.172697,12.5,0
2776.057919,1610.91045,629.6820465,563.6311368,10,0
2595.049269,1609.166244,606.1975312,562.7069451,7.5,0
2413.930102,1607.349519,582.191686,562.185737,5,0
