imgps_x,imgps_y,u,v,objps_x,objps_y
3182.548375,2592.556966,681.6662187,873.6494346,17.5,-12.5
3001.350981,2586.299856,657.6889322,873.2819324,15,-12.5
2820.173075,2580.062988,633.5902504,872.8536755,12.5,-12.5
2638.9098,2573.820619,609.1039192,872.2161578,10,-12.5
2457.73873,2567.55325,584.5237467,871.6048756,7.5,-12.5
2276.515744,2561.316813,559.5867808,871.087088,5,-12.5
2095.297264,2555.0899,534.4813753,870.5112459,2.5,-12.5
1914.160564,2548.857069,508.9468796,869.9007383,0,-12.5
1732.904894,2542.54257,483.3732335,869.1596464,-2.5,-12.5
1551.628098,2536.35323,457.3922266,868.6835502,-5,-12.5
1370.334859,2530.096131,431.1660409,867.9877709,-7.5,-12.5
1189.079139,2523.84802,404.4742409,867.4896631,-10,-12.5
1007.721502,2517.566448,377.7746503,866.7904518,-12.5,-12.5
826.3433594,2511.342627,350.6228602,866.1024826,-15,-12.5
644.9811344,2505.132109,323.180459,865.3970036,-17.5,-12.5
3188.842397,2411.843842,683.781555,816.8497898,17.5,-10
3007.685819,2405.572653,659.7966806,815.9398392,15,-10
2826.515075,2399.341917,635.7181711,815.1466877,12.5,-10
2645.243673,2393.098394,611.2323996,814.2456073,10,-10
2464.016098,2386.879089,586.6733665,813.473419,7.5,-10
2282.818238,2380.677431,561.7504181,812.5968591,5,-10
2101.657341,2374.39092,536.5792718,811.6579948,2.5,-10
1920.399931,2368.176609,511.1001873,810.8360203,0,-10
1739.208061,2361.925417,485.4917802,810.0485089,-2.5,-10
1557.949202,2355.627422,459.4488089,808.8827624,-5,-10
1376.719984,2349.368472,433.2378573,808.0030796,-7.5,-10
1195.396428,2343.093006,406.7184671,807.1110523,-10,-10
1014.065786,2336.889325,379.8937995,806.1263756,-12.5,-10
832.677175,2330.641289,352.7269259,805.2361411,-15,-10
651.2773719,2324.342559,325.2623569,804.2471488,-17.5,-10
3195.169098,2231.104816,685.8579474,759.6153207,17.5,-7.5
3014.032691,2224.878259,662.0004354,758.5534134,15,-7.5
2832.774195,2218.634853,637.8381195,757.4788147,12.5,-7.5
2651.57512,2212.4205,613.3666482,756.382378,10,-7.5
2470.372756,2206.163113,588.7770377,755.2396762,7.5,-7.5
2289.124636,2199.977408,563.8786733,754.1111184,5,-7.5
2107.934736,2193.703995,538.6503046,753.0214627,2.5,-7.5
1926.678483,2187.4063,513.2214913,751.804619,0,-7.5
1745.419684,2181.176373,487.5051041,750.6039241,-2.5,-7.5
1564.217872,2174.862692,461.6451793,749.1956847,-5,-7.5
1382.98848,2168.629616,435.3313083,748.0790819,-7.5,-7.5
1201.736819,2162.367153,408.7432039,746.8341838,-10,-7.5
1020.411755,2156.164364,381.9692359,745.5412197,-12.5,-7.5
839.0238906,2149.856406,354.7670073,744.4011589,-15,-7.5
657.6336703,2143.60515,327.3887145,742.9339814,-17.5,-7.5
3201.480613,2050.419034,687.9922006,702.6659505,17.5,-5
3020.332973,2044.172783,664.1583272,701.125167,15,-5
2839.161211,2037.940617,639.8995905,699.8388209,12.5,-5
2657.861464,2031.697036,615.6127889,698.3206217,10,-5
2476.671237,2025.402231,590.8789349,697.0152387,7.5,-5
2295.462181,2019.218903,565.972244,695.5176018,5,-5
2114.203459,2012.985797,540.8261791,694.0393103,2.5,-5
1933.000459,2006.701925,515.303651,692.6046281,0,-5
1751.764641,2000.397019,489.6833454,690.9955929,-2.5,-5
1570.467655,1994.1475,463.6731915,689.5173757,-5,-5
1389.258375,1987.883697,437.4590397,688.0397289,-7.5,-5
1208.037755,1981.652805,410.8537783,686.4526372,-10,-5
1026.698355,1975.40798,383.9812811,684.948818,-12.5,-5
845.3144,1969.049606,356.7940256,683.1415898,-15,-5
663.9072953,1962.781208,329.4199915,681.7786196,-17.5,-5
3207.785256,1869.650033,690.1400632,645.5315099,17.5,-2.5
3026.648959,1863.471453,666.2289364,644.0267714,15,-2.5
2845.409122,1857.216308,642.0276892,642.1231457,12.5,-2.5
2664.138884,1850.953372,617.6957475,640.4999384,10,-2.5
2482.932736,1844.686006,593.0325779,638.6869603,7.5,-2.5
2301.677425,1838.365373,568.0765152,636.8873225,5,-2.5
2120.420256,1832.111692,542.8258569,635.1704576,2.5,-2.5
1939.251898,1825.949648,517.5164756,633.4040947,0,-2.5
1758.011963,1819.690414,491.7183602,631.5669442,-2.5,-2.5
1576.803164,1813.468058,465.7804531,629.8103614,-5,-2.5
1395.597552,1807.231469,439.5533117,627.8241932,-7.5,-2.5
1214.357438,1800.926817,412.9513486,626.0375303,-10,-2.5
1032.989286,1794.6447,386.0621344,624.2475242,-12.5,-2.5
851.6598406,1788.298617,359.0152483,622.1525227,-15,-2.5
670.2333938,1782.028911,331.4409,620.2267254,-17.5,-2.5
3214.050897,1688.969697,692.2207131,588.4353665,17.5,0
3032.953909,1682.729873,668.3743276,586.4297371,15,0
2851.679927,1676.46295,644.1668377,584.3305789,12.5,0
2670.469944,1670.158817,619.7958914,582.4222368,10,0
2489.267988,1663.970128,595.0941928,580.2364776,7.5,0
2308.006245,1657.676602,570.2161726,578.2675753,5,0
2126.794238,1651.514291,544.9651794,576.1797961,2.5,0
1945.588736,1645.285063,519.6094162,574.0579226,0,0
1764.286606,1638.991109,493.8819,571.9448307,-2.5,0
1583.117308,1632.724338,467.8319465,569.7668663,-5,0
1401.844247,1626.45295,441.6019518,567.6787116,-7.5,0
1220.523836,1620.138291,415.0191835,565.5153612,-10,0
1039.227411,1613.79432,388.1544578,563.3872368,-12.5,0
857.8831078,1607.485877,361.0593061,561.0033907,-15,0
676.5364578,1601.219516,333.6099988,558.8911052,-17.5,0
3220.348911,1508.391128,694.3119025,531.2611302,17.5,2.5
3039.165188,1502.094291,670.4718512,529.0662228,15,2.5
2857.94225,1495.728733,646.312982,526.703164,12.5,2.5
2676.754773,1489.430309,621.8950067,524.290083,10,2.5
2495.570656,1483.242581,597.2212245,521.9454096,7.5,2.5
2314.350514,1477.0684,572.3321528,519.5600732,5,2.5
2133.107181,1470.837003,547.1093512,517.181897,2.5,2.5
1951.849838,1464.599631,521.711851,514.7174929,0,2.5
