imgps_x,imgps_y,u,v,objps_x,objps_y
729.4923016,2574.732597,350.6479501,891.7707789,-17.5,-12.5
910.8329547,2567.166461,378.0868986,887.4565375,-15,-12.5
1092.212992,2559.530531,405.3097488,883.1625852,-12.5,-12.5
1273.499589,2551.998181,432.1542645,879.0732491,-10,-12.5
1454.698411,2544.423858,458.836534,875.0769574,-7.5,-12.5
1635.912716,2536.884191,485.0642397,871.2907444,-5,-12.5
1817.116595,2529.425942,511.0781086,867.2405838,-2.5,-12.5
1998.311587,2521.871369,536.8917636,863.2097764,0,-12.5
2179.423955,2514.379466,562.3777455,859.2822483,2.5,-12.5
2360.536445,2506.880195,587.5497996,855.5025543,5,-12.5
2541.674564,2499.362375,612.5147395,851.7497915,7.5,-12.5
2722.901159,2491.837564,637.2404489,848.0118434,10,-12.5
2904.044702,2484.334006,661.6204493,844.4032729,12.5,-12.5
3085.234059,2476.900169,685.897591,840.6182475,15,-12.5
3266.376455,2469.391481,709.7149656,836.9435684,17.5,-12.5
722.0322453,2394.488463,348.0742075,829.8413351,-17.5,-10
903.3491531,2386.918795,375.5713213,825.7920428,-15,-10
1084.687223,2379.284159,402.7484285,822.0482255,-12.5,-10
1266.00547,2371.679328,429.6592462,818.222042,-10,-10
1447.205619,2364.167259,456.2222267,814.3714239,-7.5,-10
1628.398273,2356.639875,482.4438893,810.8436564,-5,-10
1809.546164,2349.250634,508.4780309,807.2225145,-2.5,-10
1990.774002,2341.641398,534.3301087,803.5505473,0,-10
2171.895659,2334.154972,559.7229581,800.072947,2.5,-10
2352.974831,2326.642727,584.9783684,796.5644236,5,-10
2534.21252,2319.124805,609.809012,793.0277612,7.5,-10
2715.397639,2311.560553,634.6402235,789.5392125,10,-10
2896.578673,2304.060784,659.0331239,786.0151177,12.5,-10
3077.670963,2296.614525,683.200696,782.7631343,15,-10
3258.884267,2289.062558,707.1078742,779.3374387,17.5,-10
714.4857625,2214.181748,345.4776557,767.9607866,-17.5,-7.5
895.9306563,2206.606388,373.07115,764.3738931,-15,-7.5
1077.268658,2198.936275,400.184362,760.8208389,-12.5,-7.5
1258.537038,2191.431031,427.1109912,757.4318004,-10,-7.5
1439.692294,2183.875116,453.6482602,754.0475687,-7.5,-7.5
1620.875488,2176.401286,479.8103553,750.8024118,-5,-7.5
1802.060784,2168.8409,505.9410643,747.4897413,-2.5,-7.5
1983.250667,2161.351497,531.7381793,744.0375825,0,-7.5
2164.377041,2153.847264,557.1751644,740.8981688,2.5,-7.5
2345.581002,2146.331381,582.3606604,737.5911597,5,-7.5
2526.684348,2138.796164,607.2756568,734.4194029,7.5,-7.5
2707.948384,2131.290242,631.9418414,731.217783,10,-7.5
2889.124723,2123.765653,656.4991814,727.8867801,12.5,-7.5
3070.284083,2116.261595,680.5753559,724.9687571,15,-7.5
3251.425648,2108.763106,704.513898,721.9377608,17.5,-7.5
706.9667328,2033.803128,343.0460061,706.2671855,-17.5,-5
888.3900891,2026.193803,370.4801914,702.9511842,-15,-5
1069.775611,2018.683245,397.7276896,699.7827089,-12.5,-5
1250.99272,2011.182153,424.6041709,696.8174192,-10,-5
