imgps_x,imgps_y,u,v,objps_x,objps_y
2977.003291,1193.931736,667.9528847,430.1835468,15,5
3157.947747,1182.899322,691.8313723,427.3415211,17.5,5
612.5204234,1157.432677,330.942939,406.6844002,-17.5,7.5
793.7058422,1146.393683,358.6587618,403.8528572,-15,7.5
974.9020312,1135.389297,385.8494156,400.8770949,-12.5,7.5
1155.912913,1124.365997,412.9689238,398.2364927,-10,7.5
1336.85355,1113.362633,439.8183017,395.4477279,-7.5,7.5
1517.903713,1102.321047,466.2258258,392.8937502,-5,7.5
1698.966142,1091.350919,492.4331674,390.2866417,-2.5,7.5
1880.064538,1080.347069,518.2812811,387.7487029,0,7.5
2061.074809,1069.343189,543.8813741,385.1811669,2.5,7.5
2242.132513,1058.257947,569.3129821,382.6343159,5,7.5
2423.154756,1047.245217,594.4700897,380.0127205,7.5,7.5
2604.151548,1036.191827,619.298526,377.3605636,10,7.5
2785.116972,1025.081783,643.8788021,374.9161732,12.5,7.5
2966.048303,1013.957798,668.2042765,372.2715759,15,7.5
3146.9971,1002.829295,692.2669735,369.8859695,17.5,7.5
601.5672531,977.3500547,330.8564897,344.6060834,-17.5,10
782.7323688,966.3790234,358.6348504,342.1598848,-15,10
963.8543109,955.3736859,385.8529319,339.6062793,-12.5,10
1144.903894,944.3889672,412.996693,337.1452624,-10,10
1325.980441,933.2751609,439.8333232,334.7684792,-7.5,10
1506.945955,922.289425,466.2706118,332.3708391,-5,10
1687.927473,911.2917438,492.491223,330.0901522,-2.5,10
1869.044205,900.2329359,518.4546434,327.7020565,0,10
2050.043019,889.2442078,544.0438863,325.4997723,2.5,10
2231.108919,878.1795531,569.5581984,323.4048281,5,10
2412.205173,867.1184,594.6947633,321.0366926,7.5,10
2593.153908,856.0516688,619.588019,318.8198042,10,10
2774.149027,844.9912281,644.1012934,316.5873925,12.5,10
2955.118663,833.9322891,668.5414657,314.3695807,15,10
3136.079561,822.8293609,692.559092,312.2222524,17.5,10
590.5031953,797.2902984,330.7469139,282.2426725,-17.5,12.5
771.7190875,786.3311813,358.4989097,280.0292489,-15,12.5
952.8762891,775.3448563,385.8096535,277.9463053,-12.5,12.5
1133.905241,764.3838391,412.9556335,275.9501287,-10,12.5
1314.9199,753.3481438,439.866275,273.9284794,-7.5,12.5
1495.868978,742.2882172,466.2736032,271.8069003,-5,12.5
1676.941617,731.2761234,492.5994812,269.6560605,-2.5,12.5
1857.987045,720.1467188,518.5552337,267.6551656,0,12.5
2039.044448,709.1207375,544.2582356,265.6661707,2.5,12.5
2220.10532,697.9989875,569.6890864,263.9029234,5,12.5
2401.097041,686.9215953,594.8433258,261.8639081,7.5,12.5
2582.146625,675.9741906,619.8347994,260.0587977,10,12.5
2763.190842,664.9183719,644.522446,258.0007548,12.5,12.5
2944.154234,653.8576172,668.8515114,256.1330293,15,12.5
3125.047273,642.8149484,692.9227957,254.3027736,17.5,12.5
