imgps_x,imgps_y,u,v,objps_x,objps_y
733.2163219,2475.616108,336.5983963,854.7166713,-17.5,-12.5
913.9466094,2464.899408,364.7499583,849.9602099,-15,-12.5
1094.645602,2454.094592,392.8009655,845.3138232,-12.5,-12.5
1275.32485,2443.38583,420.3909506,840.6557905,-10,-12.5
1455.995614,2432.643192,447.8233872,835.7927125,-7.5,-12.5
1636.584036,2421.928245,475.0474949,831.0094552,-5,-12.5
1817.136583,2411.274311,501.9643697,826.4243935,-2.5,-12.5
1997.785992,2400.527986,528.6283803,821.8148356,0,-12.5
2178.302166,2389.869928,555.0768995,817.3828332,2.5,-12.5
2358.883289,2379.129058,581.1457441,812.8956061,5,-12.5
2539.429766,2368.413992,607.1008495,808.4889084,7.5,-12.5
2720.003489,2357.705869,632.9256503,804.0182079,10,-12.5
2900.611642,2346.961605,658.4213328,799.6114209,12.5,-12.5
3081.195491,2336.211989,683.7275717,795.3893486,15,-12.5
3261.756834,2325.492825,708.7427178,791.0786932,17.5,-12.5
722.4412016,2294.613609,335.013913,793.5866416,-17.5,-10
903.2649,2283.800697,363.2980614,789.0514264,-15,-10
1083.863759,2273.058356,391.3183016,784.5946406,-12.5,-10
1264.585458,2262.333394,418.9756194,780.2297024,-10,-10
1445.155384,2251.602561,446.3320097,775.6105269,-7.5,-10
1625.715889,2240.941275,473.5599661,771.2257833,-5,-10
1806.345264,2230.24912,500.5715361,766.8103382,-2.5,-10
1986.961191,2219.510428,527.2060958,762.4507869,0,-10
2167.510866,2208.773584,553.6588469,758.3987976,2.5,-10
2348.039273,2198.11275,579.8968918,754.1161363,5,-10
2528.694936,2187.325888,605.8231765,749.873206,7.5,-10
2709.249677,2176.619841,631.6166225,745.7508545,10,-10
2889.885233,2165.914272,657.2251652,741.7304423,12.5,-10
3070.421673,2155.123202,682.3867755,737.5123412,15,-10
3250.940583,2144.481983,707.4299977,733.5584916,17.5,-10
711.5907672,2113.495539,333.5442383,732.3894513,-17.5,-7.5
892.4005109,2102.73033,361.791063,728.0671629,-15,-7.5
1073.103497,2092.016709,389.8279216,723.9782586,-12.5,-7.5
1253.81278,2081.273931,417.5033414,719.7874857,-10,-7.5
1434.360386,2070.606041,444.9433036,715.5200767,-7.5,-7.5
1614.919023,2059.853655,472.2144112,711.2898717,-5,-7.5
1795.524227,2049.150041,499.0376597,707.1009691,-2.5,-7.5
1976.117116,2038.44623,525.8497633,703.1418076,0,-7.5
2156.731623,2027.758491,552.2923229,699.1967788,2.5,-7.5
2337.293856,2017.016983,578.4805812,695.2701494,5,-7.5
2517.832366,2006.225234,604.4856442,691.4433494,7.5,-7.5
2698.455841,1995.547716,630.2170778,687.3815323,10,-7.5
2879.135303,1984.828577,655.8511356,683.634477,12.5,-7.5
3059.683434,1974.062695,681.1654383,679.7787169,15,-7.5
3240.210131,1963.377447,706.2041336,676.0483439,17.5,-7.5
700.8259766,1932.361198,332.0773449,670.9396853,-17.5,-5
881.5613813,1921.58203,360.2856309,666.9781158,-15,-5
1062.300912,1910.941934,388.3791268,663.0702124,-12.5,-5
1243.0132,1900.295981,416.0045922,659.3296516,-10,-5
1423.53223,1889.538242,443.5351864,655.4243214,-7.5,-5
1604.127539,1878.812338,470.8210323,651.4511886,-5,-5
1784.715109,1868.121283,497.7575177,647.7229435,-2.5,-5
1965.310622,1857.346172,524.4318615,643.6975075,0,-5
2145.936641,1846.676569,550.9031745,640.0995434,2.5,-5
2326.474941,1835.919908,577.1299294,636.2904371,5,-5
2507.040734,1825.157966,603.1878459,632.5377481,7.5,-5
2687.645114,1814.381744,628.930321,629.0595129,10,-5
2868.301502,1803.78962,654.5889952,625.4744273,12.5,-5
3048.904936,1792.948292,679.7754172,621.9589487,15,-5
3229.381838,1782.339805,704.8275766,618.3926065,17.5,-5
690.0586688,1751.227891,330.5861312,609.5469893,-17.5,-2.5
870.7351938,1740.581783,358.8384979,605.9787525,-15,-2.5
1051.492503,1729.915108,386.7598557,602.3826606,-12.5,-2.5
1232.110141,1719.182239,414.553742,598.8269514,-10,-2.5
1412.771317,1708.479908,442.1039929,595.0210034,-7.5,-2.5
1593.361812,1697.820634,469.3605883,591.4112255,-5,-2.5
1773.962264,1687.084622,496.2800376,587.9137868,-2.5,-2.5
1954.525408,1676.40397,523.0431003,584.243831,0,-2.5
2135.115817,1665.629745,549.5269859,580.7580859,2.5,-2.5
2315.655145,1654.836453,575.7661019,577.3835403,5,-2.5
2496.221011,1644.160583,601.8995651,573.8665219,7.5,-2.5
2676.8755,1633.414695,627.6011944,570.4464605,10,-2.5
2857.47158,1622.734023,653.1892516,567.2510186,12.5,-2.5
3038.133147,1612.049067,678.5538737,563.8676933,15,-2.5
3218.557228,1601.369427,703.5594415,560.7959201,17.5,-2.5
679.2211047,1570.1341,329.0613661,548.2163368,-17.5,0
859.969775,1559.381566,357.329819,544.8933156,-15,0
1040.581361,1548.796709,385.259282,541.5908141,-12.5,0
1221.259181,1538.105097,413.0740342,538.1204387,-10,0
1401.906509,1527.429663,440.6552194,534.8205935,-7.5,0
1582.552712,1516.790184,467.8681415,531.5833706,-5,0
1763.102992,1506.094922,494.8867268,528.0906711,-2.5,0
1943.754455,1495.381266,521.7115087,524.9414589,0,0
2124.363658,1484.678088,548.0981241,521.7988916,2.5,0
2304.898386,1473.931358,574.3880815,518.4358425,5,0
2485.503153,1463.142328,600.3925417,515.1958877,7.5,0
2666.103136,1452.403822,626.3147772,512.1624705,10,0
2846.659481,1441.649728,651.8736813,509.1340687,12.5,0
3027.252136,1430.986773,677.1344627,506.0727699,15,0
3207.793378,1420.418322,702.2413354,503.2273359,17.5,0
668.4116094,1389.058094,327.5399602,486.7253267,-17.5,2.5
849.1179188,1378.380297,355.7591242,483.5968142,-15,2.5
1029.796266,1367.665892,383.8488306,480.6415473,-12.5,2.5
1210.412431,1356.999805,411.6415023,477.5116845,-10,2.5
1391.046891,1346.346813,439.1744791,474.3622558,-7.5,2.5
1571.682153,1335.727667,466.4093552,471.5084499,-5,2.5
1752.290588,1325.065573,493.49298,468.4685061,-2.5,2.5
1932.879808,1314.348638,520.2439079,465.555359,0,2.5
2113.541219,1303.673888,546.7532651,462.4949296,2.5,2.5
2294.209231,1292.974423,573.0375918,459.5062507,5,2.5
2474.691375,1282.241631,599.0638195,456.5831774,7.5,2.5
2655.393844,1271.461494,624.9008336,453.6717284,10,2.5
2835.857194,1260.688872,650.5855787,450.7797047,12.5,2.5
3016.441558,1250.019883,675.9007283,448.1728432,15,2.5
3196.95325,1239.365959,700.9249979,445.407541,17.5,2.5
657.5488688,1207.980811,326.0533986,425.2671867,-17.5,5
838.3067016,1197.310623,354.2739999,422.3898643,-15,5
1019.003836,1186.579317,382.3651726,419.6173609,-12.5,5
1199.585908,1175.917545,410.2026994,416.7812405,-10,5
1380.186444,1165.260592,437.6990108,414.0183416,-7.5,5
1560.818698,1154.600623,464.9581523,411.2968495,-5,5
1741.491973,1143.946625,492.0629508,408.6516957,-2.5,5
1922.076463,1133.226528,518.8086638,405.9432932,0,5
2102.68685,1122.559931,545.3295339,403.1863533,2.5,5
2283.285866,1111.87503,571.7048618,400.586215,5,5
2463.938897,1101.186217,597.7876685,397.7355597,7.5,5
2644.571559,1090.467416,623.5931408,395.0611286,10,5
2825.122566,1079.714922,649.203997,392.483979,12.5,5
3005.607944,1068.98392,674.5470617,389.9367091,15,5
3186.095811,1058.258373,699.6755692,387.5328894,17.5,5
646.6922766,1026.921008,324.4596848,363.6929781,-17.5,7.5
827.4627031,1016.185631,352.7836489,361.0866821,-15,7.5
1008.153313,1005.517136,380.8519462,358.6179435,-12.5,7.5
1188.810828,994.8388641,408.7484562,355.9988025,-10,7.5
1369.395047,984.1624766,436.2805872,353.5580931,-7.5,7.5
1549.94327,973.4765391,463.5584539,351.1333661,-5,7.5
1730.61725,962.7939109,490.6418077,348.7377544,-2.5,7.5
1911.231775,952.1214141,517.4195257,346.2517143,0,7.5
2091.832666,941.4752625,544.0421735,343.8994444,2.5,7.5
2272.496634,930.7932266,570.3805326,341.3026696,5,7.5
2453.151141,920.0574641,596.3238023,338.8923128,7.5,7.5
2633.778969,909.3885984,622.2589612,336.4339116,10,7.5
2814.291381,898.7552156,647.8674699,334.2763663,12.5,7.5
2994.863147,887.951325,673.2067715,331.9412642,15,7.5
3175.398213,877.1666969,698.4242654,329.6793571,17.5,7.5
635.8667688,845.7381578,322.9410462,302.0688406,-17.5,10
816.5949141,835.1185312,351.3105528,299.8095635,-15,10
997.3291609,824.4724656,379.4236509,297.4504136,-12.5,10
1177.954784,813.8291844,407.2874583,295.3752265,-10,10
1358.619119,803.1107297,434.8113316,293.1157909,-7.5,10
1539.199986,792.4159922,462.0737348,290.8417523,-5,10
1719.772586,781.7406266,489.1584547,288.6390081,-2.5,10
