imgps_x,imgps_y,u,v,objps_x,objps_y
741.5459844,2511.308713,353.1890256,870.0488161,-17.5,-12.5
922.4390125,2507.891838,379.4933145,867.0498089,-15,-12.5
1103.361741,2504.538256,405.4308598,864.1819463,-12.5,-12.5
1284.157136,2501.224061,430.9982346,861.2755912,-10,-12.5
1464.942905,2497.915208,456.3721289,858.8129726,-7.5,-12.5
1645.658572,2494.565195,481.3218654,855.9789772,-5,-12.5
1826.358867,2491.313328,505.9926323,853.3317298,-2.5,-12.5
2007.086391,2487.968356,530.3395249,850.7359286,0,-12.5
2187.754572,2484.639206,554.4803383,848.0914489,2.5,-12.5
2368.452227,2481.30033,578.2790473,845.4966167,5,-12.5
2549.199181,2477.970619,601.8120973,842.8145329,7.5,-12.5
2729.818145,2474.693548,625.1414106,840.4010517,10,-12.5
2910.544975,2471.408398,648.1308365,837.8780435,12.5,-12.5
3091.230981,2468.033259,670.7442855,835.396864,15,-12.5
3271.886155,2464.791877,693.1713336,833.0000215,17.5,-12.5
738.2304797,2330.012111,352.6204195,807.9992902,-17.5,-10
919.1727766,2326.641689,379.0257728,805.4538833,-15,-10
1100.049866,2323.257044,404.9465264,802.9881314,-12.5,-10
1280.902372,2319.851142,430.581111,800.5453311,-10,-10
1461.610378,2316.550105,455.8763861,798.0626921,-7.5,-10
1642.313744,2313.275545,480.7743616,795.7662522,-5,-10
1823.046233,2309.986409,505.6051296,793.3761053,-2.5,-10
2003.809778,2306.629516,529.9892236,791.1918045,0,-10
2184.481333,2303.370958,554.1605682,788.8295909,2.5,-10
2365.123605,2300.027145,577.7819309,786.7707176,5,-10
2545.878241,2296.6902,601.4593228,784.3274643,7.5,-10
2726.580433,2293.348544,624.7148434,782.2122695,10,-10
2907.294486,2290.036344,647.7861989,780.0783279,12.5,-10
3087.943206,2286.707494,670.3547759,778.0762526,15,-10
3268.617552,2283.410913,692.8750214,775.7773425,17.5,-10
734.9288672,2148.612998,352.2163382,746.0161574,-17.5,-7.5
915.9160109,2145.264856,378.5153986,743.8646929,-15,-7.5
1096.832108,2141.855834,404.5948832,741.8784504,-12.5,-7.5
1277.547559,2138.532092,430.1667031,739.6290458,-10,-7.5
1458.27383,2135.243734,455.4610824,737.5137723,-7.5,-7.5
1638.992969,2131.91692,480.3638065,735.6266221,-5,-7.5
1819.737313,2128.604088,505.1937121,733.6883394,-2.5,-7.5
2000.473775,2125.300978,529.5166385,731.7227395,0,-7.5
2181.09892,2121.985616,553.6568587,729.7171026,2.5,-7.5
2361.857902,2118.674491,577.408609,727.9522453,5,-7.5
2542.63183,2115.339295,601.037051,726.0100234,7.5,-7.5
2723.312522,2112.053806,624.3099531,724.0472097,10,-7.5
2904.004808,2108.665472,647.3474124,722.1126114,12.5,-7.5
3084.657777,2105.366611,670.0129632,720.4321281,15,-7.5
3265.2937,2102.071572,692.494721,718.699135,17.5,-7.5
731.648175,1967.171523,351.7925174,683.9477145,-17.5,-5
912.6037266,1963.769452,378.1268188,682.2359602,-15,-5
1093.504241,1960.506195,404.1276337,680.5296554,-12.5,-5
1274.227678,1957.265083,429.7686339,678.8808974,-10,-5
1454.927031,1953.860163,455.0451419,677.105389,-7.5,-5
1635.644867,1950.583559,479.9534533,675.5223645,-5,-5
1816.372467,1947.236563,504.7004739,673.8727076,-2.5,-5
