imgps_x,imgps_y,u,v,objps_x,objps_y
764.4206969,2570.26095,340.4117296,886.1886584,-17.5,-12.5
945.8344313,2564.582877,367.5811414,882.6907432,-15,-12.5
1127.188386,2558.896942,394.4014806,879.4583708,-12.5,-12.5
1308.71048,2553.12718,421.1607857,875.7964846,-10,-12.5
1489.840708,2547.549567,447.3225766,872.6096409,-7.5,-12.5
1671.069664,2541.907622,473.4300292,869.1000103,-5,-12.5
1852.3348,2536.211623,499.1327448,865.8980027,-2.5,-12.5
2033.608589,2530.597427,524.6459497,862.4863962,0,-12.5
2214.838205,2524.93815,549.8478746,859.2083974,2.5,-12.5
2396.04695,2519.276336,574.7847565,856.1775694,5,-12.5
2577.25632,2513.650352,599.5331108,853.0880834,7.5,-12.5
2758.424994,2508.002241,623.9680921,849.9598584,10,-12.5
2939.728656,2502.384964,648.2314125,846.7668686,12.5,-12.5
3120.934448,2496.714205,672.0653,843.5697923,15,-12.5
3302.164098,2491.138861,695.794238,840.5592294,17.5,-12.5
758.8568016,2388.954041,339.5972401,824.9946516,-17.5,-10
940.2537703,2383.257059,366.7297117,821.7764722,-15,-10
1121.574495,2377.5893,393.6650016,818.6411954,-12.5,-10
1302.921556,2371.919641,420.2436781,815.466779,-10,-10
1484.220478,2366.280872,446.5343034,812.5023955,-7.5,-10
1665.448086,2360.684519,472.6666797,809.6516522,-5,-10
1846.710234,2355.039181,498.3785656,806.5505254,-2.5,-10
2027.935445,2349.353395,523.9234036,803.7080556,0,-10
2209.209791,2343.731198,549.0526152,800.5891627,2.5,-10
2390.419372,2338.077956,574.1142994,797.7355705,5,-10
2571.620536,2332.424752,598.7969947,794.8006217,7.5,-10
2752.867858,2326.730053,623.3137832,792.1733446,10,-10
2934.141952,2321.092095,647.5236632,789.3002591,12.5,-10
3115.299269,2315.435456,671.3616259,786.4216886,15,-10
3296.518627,2309.816037,695.1654923,783.7170504,17.5,-10
753.2122313,2207.620053,338.8109954,763.689993,-17.5,-7.5
934.6058563,2201.995155,366.0289468,760.8255278,-15,-7.5
1115.985702,2196.319691,392.934628,758.0185977,-12.5,-7.5
1297.339452,2190.65147,419.5562473,755.3860022,-10,-7.5
1478.579909,2185.009764,445.8042523,752.643972,-7.5,-7.5
1659.782356,2179.38037,471.9562598,749.8310528,-5,-7.5
1841.090645,2173.705138,497.6665496,747.1861955,-2.5,-7.5
2022.306945,2168.057342,523.2211431,744.3758379,0,-7.5
2203.545027,2162.456958,548.4052875,741.9530401,2.5,-7.5
2384.827253,2156.79993,573.3772424,739.2522605,5,-7.5
2566.045559,2151.13605,598.1282147,736.694539,7.5,-7.5
2747.288945,2145.471502,622.5619454,734.0822763,10,-7.5
2928.468522,2139.756813,646.80312,731.5254812,12.5,-7.5
3109.737961,2134.167014,670.6374137,729.1107246,15,-7.5
3290.89652,2128.525967,694.4317211,726.6846358,17.5,-7.5
747.5521016,2026.314358,338.0834931,702.3941407,-17.5,-5
928.9899625,2020.601442,365.1685833,699.8261858,-15,-5
1110.378911,2015.030794,392.1428073,697.4590302,-12.5,-5
1291.669345,2009.397755,418.7684782,695.0743415,-10,-5
1472.8943,2003.724861,445.0159407,692.5440895,-7.5,-5
1654.135697,1998.091595,471.1551071,690.2263248,-5,-5
1835.406517,1992.416405,496.8992467,687.7107296,-2.5,-5
2016.672147,1986.797081,522.4476624,685.5187834,0,-5
2197.927166,1981.163594,547.6126703,682.985283,2.5,-5
2379.171911,1975.460387,572.605292,680.7409916,5,-5
2560.431889,1969.826336,597.4232798,678.5779397,7.5,-5
2741.637811,1964.170259,621.8832533,676.2942468,10,-5
2922.925155,1958.52508,646.1166146,674.0147065,12.5,-5
3104.130656,1952.841339,670.003055,671.8803742,15,-5
3285.262931,1947.235539,693.6616747,669.4906923,17.5,-5
741.9463891,1844.979253,337.2582279,641.2358245,-17.5,-2.5
923.3717547,1839.366552,364.4179255,638.9156365,-15,-2.5
1104.682813,1833.771233,391.3209877,636.8016628,-12.5,-2.5
1286.052472,1828.099722,417.8974763,634.7808993,-10,-2.5
