imgps_x, imgps_y, ph0, u
500, 20, 15.757320242878682, 328.370481454254
500, 40, 19.477874452256717, 346.875
500, 60, 13.400962379110464, 316.65091890074865
500, 80, 16.598384840492386, 332.55359358456076
500, 100, 20.203121862032283, 350.4820846946992
500, 120, 9.03006642688338, 294.9118658839581
500, 140, 9.076889428284126, 295.14474438781207
500, 160, 9.109034458273614, 295.30462065089534
500, 180, 9.114855221868401, 295.3335707539791
500, 200, 9.150217522708331, 295.5094484095346
500, 220, 9.140002693620314, 295.458644017591
500, 240, 9.126926761547132, 295.39360966681033
500, 260, 9.13782184976287, 295.4477973900902
500, 280, 9.136164420317154, 295.4395540123055
500, 300, 9.139327304975684, 295.4552849100503
500, 320, 9.27288446673138, 296.11954373751104
500, 340, 9.725321506384926, 298.3697809655962
500, 360, 9.703942889267832, 298.26345244713826
500, 380, 9.720284658144937, 298.3447297376275
500, 400, 9.697531897187192, 298.23156678839587
500, 420, 9.686532486374444, 298.176860207085
500, 440, 9.696641874011048, 298.2271401762724
500, 460, 9.701695328858401, 298.2522739987302
500, 480, 9.707741734623225, 298.28234635389924
500, 500, 9.695622568886227, 298.22207056848697
500, 520, 9.692520480312242, 298.20664204566015
500, 540, 9.679190935848085, 298.1403463303279
500, 560, 9.703991437824234, 298.2636939078486
500, 580, 9.697076875423566, 298.22930369580536
500, 600, 9.720981903394021, 298.3481975510006
500, 620, 9.690399737406953, 298.19609433577256
500, 640, 9.693141903250194, 298.2097327497953
500, 660, 9.684247276092984, 298.1654945035757
500, 680, 9.691092119903137, 298.19953796379684
500, 700, 9.699537802582238, 298.24154334336447
500, 720, 9.680462069582862, 298.146668430866
500, 740, 9.69309153756694, 298.20948225143746
500, 760, 9.683276686392167, 298.16066718643197
500, 780, 9.674595851095287, 298.1174922536924
500, 800, 9.673399189353212, 298.1115405464593
500, 820, 9.686885853414898, 298.17861771056045
500, 840, 9.692356776100402, 298.2058278477064
500, 860, 9.690292256260744, 298.19555976840667
500, 880, 9.684685727671217, 298.1676751828251
500, 900, 9.688914244170155, 298.1887060985361
500, 920, 9.6749798143636, 298.1194019303211
500, 940, 9.693957164028605, 298.2137875242576
500, 960, 9.667686605283453, 298.08312848419274
500, 980, 9.10149831564135, 295.26713895240255
500, 1000, 9.089426055962468, 295.20709645858426
500, 1020, 9.101711318231338, 295.268198340374
500, 1040, 9.087781591482845, 295.1989175632508
500, 1060, 9.099247836130736, 295.2559459855762
500, 1080, 9.093030045746252, 295.22502123323875
500, 1100, 9.088620573960794, 295.2030903197675
500, 1120, 9.101340934214704, 295.26635620140246
500, 1140, 9.069104799272354, 295.1060268194571
500, 1160, 8.575963649077917, 292.6533439539737
500, 1180, 10.490541115480955, 302.17567106992374
500, 1200, 10.653428678671233, 302.9858073464839
500, 1220, 10.64953415478129, 302.96643757373164
500, 1240, 10.712458635494922, 303.2793982658274
500, 1260, 10.727537760230012, 303.35439567954893
500, 1280, 10.711784004710704, 303.2760429275752
500, 1300, 10.743512531485482, 303.4338476736136
500, 1320, 10.686652195010321, 303.1510475606171
500, 1340, 10.731743267187634, 303.37531215519
500, 1360, 10.68802058005298, 303.1578533494793
500, 1380, 10.649317296695006, 302.9653590100947
500, 1400, 10.548955866390099, 302.46620220606974
500, 1420, 10.592997380241577, 302.6852467257795
500, 1440, 16.639007333952915, 332.7556332919033
500, 1460, 11.08033822774883, 305.10908125238495
500, 1480, 11.057548960297636, 304.9957367347505
500, 1500, 16.67081670309844, 332.9138401149078
500, 1520, 17.302872825211068, 336.05742936946154
500, 1540, 16.811925862192464, 333.61565949570013
500, 1560, 11.23460515172086, 305.876341986939
500, 1580, 10.631189921045964, 302.87520084010004
500, 1600, 10.9783285381757, 304.6017266792964
500, 1620, 10.647915974706759, 302.9583894063043
500, 1640, 10.569791399484973, 302.5698296461949
500, 1660, 10.59568726137587, 302.6986250969936
500, 1680, 10.642415382627583, 302.93103170570015
500, 1700, 10.63909636819883, 302.9145242821836
500, 1720, 10.685744466903843, 303.14653289139426
500, 1740, 10.66137750618392, 303.0253415711848
500, 1760, 10.635109713311614, 302.8946962874429
500, 1780, 10.630974269646169, 302.8741282780294
500, 1800, 10.629667827059482, 302.86763056566883
500, 1820, 10.57893203841805, 302.6152914546079
500, 1840, 10.406965540479455, 301.7600002610726
500, 1860, 8.739366648783951, 293.46604380145055
500, 1880, 9.025035651865409, 294.8868448617177
500, 1900, 9.057808844029946, 295.04984534715163
500, 1920, 9.02844110395144, 294.9037821908725
500, 1940, 9.03707892162096, 294.946743171486
500, 1960, 9.016915365111462, 294.84645786871096
500, 1980, 9.006653823592156, 294.7954211481941
500, 2000, 8.998224366875442, 294.7534964699427
500, 2020, 9.072189899021915, 295.12137084680313
500, 2040, 30.062360595404407, 399.5179153053008
500, 2060, 23.801405419245405, 368.3784789064729
500, 2080, 11.825987502618037, 308.81763649951995
500, 2100, 11.532883496903214, 307.35985676984654
500, 2120, 16.6938978662269, 333.02863640253923
500, 2140, 16.145599430819697, 330.3016237061452
500, 2160, 8.978095221852495, 294.653382315861
500, 2180, 8.970928557116382, 294.61773824966616
500, 2200, 8.981257103195519, 294.66910822352384
500, 2220, 8.985041687254615, 294.68793120041613
500, 2240, 8.979946109691404, 294.66258787675696
500, 2260, 9.872612819286921, 299.1023478569352
500, 2280, 10.066165074463756, 300.064997799372
500, 2300, 10.096437025554488, 300.2155581322822
500, 2320, 10.118910696849785, 300.3273330034093
500, 2340, 10.096749860701836, 300.21711404665945
500, 2360, 10.104678453759703, 300.25654763343834
